26  3.054 1102 7659 4954 34 7531 3098 326 5891 8176 9119 7543 1128 9217 5537 8285 29 4184 4015 5702 9113 9789 4544 5907 1134 3859 716
27  3.056 2284 6885 9217 3266 7659 4544 7595 5907 29 1816 8176 4874 3953 9789 9017 2045 1128 7531 7574 3859 304 3098 4426 9119 7543 1464 8392
28  3.029 3098 674 9017 9273 716 784 7531 3266 29 4874 947 9217 1102 8392 5891 5907 1134 4954 9113 7543 7194 4544 1128 3859 34 9789 6224 7659
29  3.045 1128 7531 9017 759 4184 5907 9789 8734 3859 960 8176 4297 1464 7659 7543 3266 716 6224 34 3098 2045 7595 1102 4544 1134 9113 9217 5891 7194
30  3.069 9017 4297 8176 4544 7531 9113 2351 3859 7543 4874 5891 8285 29 304 3098 5907 1102 9217 34 9119 326 7642 7659 8392 9789 1464 1128 2062 3266 8669
31  3.039 6224 1134 2045 29 7531 1128 3859 7005 7543 4015 6176 7194 3098 4297 4426 9119 9789 7598 9273 9217 8176 5891 5907 9017 4544 4184 7781 34 4752 7659 3266
32  3.050 1134 3266 6224 9113 6762 8392 29 4544 1128 3098 5907 7194 674 5537 9017 4426 5891 4954 8844 7659 4874 3859 9273 9217 4752 7531 4015 1102 7543 9119 9789 2284
33  3.064 7543 8176 34 9119 4426 3953 5537 2045 9217 4015 1134 5907 1102 9113 2609 716 3098 7642 2432 4874 5891 9789 7531 3859 304 9017 3552 7659 4184 1128 4297 9273 7573
34  3.067 7573 4991 1134 4954 5891 3098 3397 4874 304 7659 9217 9119 8285 1464 784 7598 1102 5907 3266 1128 4930 9789 9273 3859 7543 4544 9113 6176 4349 8392 7531 9017 4184 2045
35  3.068 1464 34 3266 784 7531 4752 4991 1128 7659 8176 7543 1102 6224 3528 9789 9017 5158 2045 716 3098 9113 2062 3859 2560 9273 4374 9119 9217 1134 960 759 5907 4954 183 5891
36  3.041 4544 4752 3528 1102 1128 3859 6762 4426 2284 2045 8176 5891 9113 1134 7598 8285 7659 7543 960 3266 5907 7531 9789 7194 7573 4954 4184 29 9217 9017 9119 7781 6224 4874 34 3098
37  3.058 8176 34 4184 5988 7543 9789 9217 1128 5907 9113 1134 4752 7531 304 5891 29 3098 1102 4544 9273 7623 3266 7194 3859 7642 4426 7573 9017 8392 8321 4954 7659 4991 8285 8231 2045 9119
38  3.067 9017 1403 7659 7194 8176 4544 9119 1102 4184 784 9217 4930 9113 2740 2284 5891 3266 3983 2045 304 960 8392 4874 1128 8285 716 7543 9273 5907 7642 3098 7531 7219 7598 4426 3859 34 9789
39  3.071 1102 784 1134 7642 3098 4374 5158 9119 29 6176 6224 3266 674 34 9217 9789 8176 1128 5907 2062 960 183 8392 6885 7543 4752 4426 5891 8285 4544 1286 3859 5537 4954 4015 7659 9017 9273 2284
40  3.058 5907 4015 674 9217 183 5537 8392 9789 7642 9119 8285 2284 1134 9273 960 9831 9017 319 9113 29 4954 784 7659 4752 34 7858 7543 6224 4544 5891 3859 3266 1128 2062 4874 7531 1102 304 1393 3098
41  3.068 9217 5891 960 34 1102 1403 304 8176 2609 6224 3528 5907 7598 9113 716 9789 4954 5158 8392 3859 3098 1393 183 2045 3953 1128 9119 4752 7659 29 7531 4874 4426 1464 2922 4184 9273 3266 1134 7543 9017
42  3.065 29 9119 9017 3859 304 3266 2284 1546 3098 1464 7659 9217 7531 6224 6885 2045 7574 960 4374 9273 7543 759 8392 9789 8285 7642 7194 4752 4874 5907 8321 8176 5158 4991 183 4544 1102 1134 4954 5891 1128 8231
43  3.066 7598 8392 4015 7543 2045 2284 3098 5988 6224 29 4184 8176 319 1128 9017 4544 5891 1134 4752 9119 759 9273 1102 304 7659 3859 34 9789 7858 5537 5907 9217 1464 4874 7194 716 4712 7531 3953 4426 3266 6885 4954
